time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:53.928Z,-0.1337,-0.9179,0.3843,0.0085,0.0172,-0.0379,-0.0015,-0.0036,-0.0052,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.938Z,-0.1334,-0.9162,0.383,0.0121,0.0082,-0.0548,0.0032,-0.0025,-0.0048,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.950Z,-0.1285,-0.9185,0.3833,-0.0379,0.0255,-0.0224,0.0004,0.0001,-0.0055,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.958Z,-0.1295,-0.9169,0.3832,-0.0379,0.0255,-0.0224,0.0004,0.0001,-0.0055,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.970Z,-0.1282,-0.9178,0.3783,-0.0329,0.0107,-0.0153,0.0022,-0.0026,-0.0054,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.978Z,-0.1282,-0.9178,0.3783,-0.0329,0.0107,-0.0153,0.0032,-0.0024,-0.0046,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.987Z,-0.1254,-0.9187,0.3724,-0.0561,0.0276,0.0528,0.0028,-0.0021,-0.0009,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.000Z,-0.1283,-0.9193,0.3793,-0.0517,0.0351,-0.0033,0.0033,-0.0016,-0.0025,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.008Z,-0.1283,-0.9193,0.3793,-0.0517,0.0351,-0.0033,0.0079,-0.0052,-0.0017,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.020Z,-0.1266,-0.9173,0.3773,-0.0591,0.009,0.0293,0.0061,-0.0018,-0.0028,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.027Z,-0.1266,-0.9173,0.3773,-0.0591,0.009,0.0293,0.0047,-0.0032,-0.0034,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.040Z,-0.1303,-0.9176,0.3809,-0.026,0.0232,-0.0237,0.0066,-0.0035,-0.0028,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.050Z,-0.1304,-0.9172,0.3783,-0.0228,0.0138,0.0037,0.0034,-0.0052,-0.0038,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.059Z,-0.1304,-0.9172,0.3783,-0.0228,0.0138,0.0037,0.0041,-0.0012,-0.002,-29.7,66.33,-160.72,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.070Z,-0.1366,-0.9156,0.3861,0.0316,0.005,-0.0704,0.0059,-0.0025,-0.0059,-29.7,66.33,-160.73,57.29,95,8,6,4,Bench,1
2026-03-27T04:28:54.078Z,-0.1366,-0.9156,0.3861,0.0316,0.005,-0.0704,0.0018,-0.0024,-0.0055,-29.7,66.33,-160.73,52.13,95,8,6,4,Bench,1
