time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T23:01:21.274Z,-0.0568,-0.7197,-0.6993,-0.0035,0.084,-0.0013,0.0008,0.0009,-0.002,-168.75,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.284Z,-0.0565,-0.7203,-0.7021,-0.0053,0.0702,0.0399,0.0025,-0.0009,-0.0026,-168.75,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.295Z,-0.0566,-0.7174,-0.7045,-0.0056,0.0425,0.0338,0.0045,-0.0029,-0.0016,-168.75,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.304Z,-0.056,-0.7155,-0.7025,-0.0078,0.0477,0.0211,0.0053,-0.0012,-0.0035,-168.75,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.314Z,-0.0563,-0.719,-0.7016,-0.0056,0.0895,0.0076,0.004,-0.0007,-0.0067,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.324Z,-0.0566,-0.7221,-0.6992,-0.0026,0.0936,-0.0162,0.0037,-0.0016,-0.0018,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.334Z,-0.0565,-0.7204,-0.698,-0.0066,0.0815,-0.0157,0.0067,-0.0042,-0.0058,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.347Z,-0.0563,-0.7199,-0.6996,-0.0058,0.0762,0.0126,0.0042,0.0003,-0.0044,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.354Z,-0.0565,-0.719,-0.7032,-0.0075,0.0622,0.0411,0.0042,0.0003,-0.0044,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.364Z,-0.0563,-0.717,-0.7036,-0.0064,0.0484,0.0257,0.0042,-0.002,-0.0064,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.374Z,-0.0565,-0.7177,-0.7014,-0.0064,0.0766,-0.0003,0.0049,-0.002,-0.0032,-168.74,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.384Z,-0.0565,-0.7218,-0.6993,-0.0013,0.1062,-0.0119,0.0057,-0.0025,-0.0039,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.394Z,-0.0564,-0.7225,-0.6985,-0.0101,0.0911,-0.0194,0.0069,-0.0043,-0.0046,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.404Z,-0.0561,-0.7203,-0.6982,-0.0041,0.0757,-0.007,0.0052,-0.002,-0.0047,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.415Z,-0.0568,-0.7195,-0.7007,-0.0027,0.0752,0.0172,0.0058,-0.0016,-0.0048,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.424Z,-0.0562,-0.7191,-0.7017,-0.0067,0.0567,0.0163,0.0054,-0.0032,-0.0054,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.434Z,-0.0568,-0.7171,-0.7007,0.0019,0.0619,-0.0036,0.0051,-0.002,-0.0067,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.447Z,-0.0571,-0.7204,-0.6989,-0.0055,0.0958,-0.0101,0.0055,-0.0019,-0.0029,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.454Z,-0.0565,-0.7218,-0.699,-0.0036,0.0979,-0.0087,0.0055,-0.0019,-0.0029,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.464Z,-0.0565,-0.7216,-0.699,0.0023,0.0899,-0.0121,0.003,-0.0019,-0.0042,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.476Z,-0.0576,-0.7202,-0.6989,-0.0011,0.0794,-0.0011,0.0051,-0.0022,-0.0047,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.486Z,-0.0561,-0.7197,-0.7002,-0.0057,0.0697,0.0081,0.0022,-0.0022,-0.0048,-168.73,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.498Z,-0.0569,-0.7191,-0.7013,-0.0033,0.0741,0.003,0.0014,0.0003,-0.0032,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.504Z,-0.0564,-0.7197,-0.6991,-0.0011,0.0814,-0.0106,0.0014,0.0003,-0.0032,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.514Z,-0.0569,-0.7216,-0.6987,-0.0032,0.1025,-0.0151,0.0044,-0.0019,-0.0048,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.526Z,-0.0564,-0.7217,-0.6982,-0.0059,0.0885,-0.0162,0.0023,-0.0027,-0.0038,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.534Z,-0.0561,-0.7204,-0.6988,-0.0088,0.0833,-0.0079,0.0023,-0.0027,-0.0038,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.547Z,-0.0569,-0.7191,-0.701,0.0034,0.079,0.0015,0.0027,-0.0019,-0.0053,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.554Z,-0.0569,-0.7191,-0.701,-0.0044,0.0653,0.0159,0.0027,-0.0019,-0.0053,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.567Z,-0.057,-0.7186,-0.7007,0.0005,0.0684,0.0011,0.0014,0.0004,-0.005,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.574Z,-0.0568,-0.7198,-0.6996,-0.0002,0.0867,-0.0074,0.0014,0.0004,-0.005,-168.72,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.586Z,-0.0568,-0.7216,-0.6983,-0.0017,0.0964,-0.0188,0.0026,-0.0027,-0.0012,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.597Z,-0.0565,-0.7211,-0.6999,-0.0008,0.091,-0.0066,0.0017,0,-0.0042,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.604Z,-0.0565,-0.7211,-0.6999,-0.0065,0.0771,0.0043,0.0017,0,-0.0042,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.617Z,-0.0562,-0.7191,-0.7006,-0.0041,0.0688,0.0073,0.0008,0,-0.004,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.624Z,-0.0567,-0.7184,-0.701,-0.0008,0.0619,0.0156,0.0008,0,-0.004,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.636Z,-0.0565,-0.7185,-0.7012,-0.0075,0.0677,0.0041,0.0011,-0.0028,-0.0047,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.646Z,-0.0561,-0.7197,-0.6999,-0.0058,0.0841,-0.0052,0.0007,-0.0013,-0.0034,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.654Z,-0.0566,-0.721,-0.6997,0.0005,0.0914,0.0025,0.0007,-0.0013,-0.0034,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.664Z,-0.0572,-0.7209,-0.7001,-0.0019,0.0761,-0.0012,0.0019,-0.0024,-0.004,-168.71,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.677Z,-0.0556,-0.719,-0.7005,-0.0122,0.0668,0.0119,0.0025,0.0005,-0.0039,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.686Z,-0.0564,-0.7186,-0.7016,-0.0024,0.0696,0.0222,-0.0004,-0.0016,-0.0032,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.696Z,-0.0566,-0.7195,-0.7026,-0.0091,0.0762,0.0242,0.0011,-0.0019,-0.0038,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.706Z,-0.0562,-0.7197,-0.7012,-0.0016,0.075,0.0091,0.0027,0.0004,-0.0035,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.718Z,-0.0572,-0.7202,-0.7009,0.0008,0.0854,-0.0002,0.001,-0.0021,-0.0046,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.725Z,-0.0565,-0.7206,-0.6992,-0.0072,0.0786,-0.005,0.001,-0.0018,-0.0031,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.735Z,-0.0563,-0.7191,-0.7003,-0.0042,0.0662,0.0104,0.0006,-0.0037,-0.0031,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.748Z,-0.056,-0.7188,-0.701,-0.0106,0.0663,0.009,0.0016,-0.0007,-0.0056,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.754Z,-0.0564,-0.7186,-0.7009,-0.0025,0.0651,0.0155,0.0016,-0.0007,-0.0056,-168.7,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.764Z,-0.0568,-0.7184,-0.7019,-0.0027,0.0649,0.0151,0.0033,-0.0021,-0.0029,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.777Z,-0.0567,-0.7191,-0.7004,-0.003,0.0747,0.0022,0.0009,0.0017,-0.003,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.785Z,-0.0563,-0.72,-0.7001,-0.0085,0.0819,-0.0009,0.0032,-0.0027,-0.0016,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.796Z,-0.0562,-0.7196,-0.7002,-0.0033,0.0738,-0.0014,0.0037,-0.0032,-0.0032,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.806Z,-0.0566,-0.7197,-0.7002,-0.0041,0.0736,0.0153,0.0037,-0.0047,-0.0016,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.817Z,-0.0562,-0.7193,-0.7018,-0.0073,0.0674,0.0137,0.0035,-0.0021,-0.0056,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.826Z,-0.0561,-0.7186,-0.7013,-0.008,0.0682,0.0139,0.0033,-0.0023,-0.0043,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.835Z,-0.0566,-0.7193,-0.7004,-0.0047,0.0799,-0.0066,0.0036,-0.0048,-0.0033,-168.69,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.848Z,-0.0564,-0.721,-0.6992,-0.0048,0.0902,0.0017,0.0047,0.0016,-0.0036,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.855Z,-0.0568,-0.7211,-0.7,0.0008,0.0811,-0.0052,0.0046,-0.0038,-0.0033,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.867Z,-0.0569,-0.7197,-0.7006,0.0006,0.0763,0.0033,0.0057,0.0014,-0.0039,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.876Z,-0.0569,-0.7197,-0.7006,-0.0023,0.0774,0.0095,0.0049,0.0001,-0.0042,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.885Z,-0.0566,-0.7198,-0.7016,-0.0037,0.0734,0.0204,0.0041,-0.002,-0.0031,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.897Z,-0.0565,-0.7191,-0.7018,-0.005,0.0729,0.0134,0.0066,-0.0016,-0.0037,-168.68,45.39,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.906Z,-0.0561,-0.719,-0.7007,-0.0092,0.0715,-0.0014,0.0055,-0.0012,-0.0047,-168.68,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.917Z,-0.0563,-0.7205,-0.6995,-0.0013,0.0878,-0.0009,0.0042,-0.0026,-0.0038,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.925Z,-0.0563,-0.7205,-0.6995,-0.0048,0.0753,-0.0031,0.0059,-0.0031,-0.0017,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.936Z,-0.0569,-0.7198,-0.6999,0.0018,0.076,0.0032,0.0029,-0.0016,-0.0063,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.946Z,-0.0569,-0.7191,-0.7005,0.0005,0.067,0.0112,0.0055,-0.0025,-0.0034,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.955Z,-0.057,-0.7198,-0.6999,0.0011,0.0702,0.0066,0.0055,-0.0025,-0.0034,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.967Z,-0.0571,-0.7209,-0.6991,0.0028,0.0848,-0.003,0.0039,0.0016,-0.0066,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.975Z,-0.0571,-0.7209,-0.6991,-0.0038,0.0842,-0.0073,0.005,-0.0003,-0.0029,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.985Z,-0.0562,-0.7211,-0.6994,-0.0087,0.0837,0.0029,0.0022,-0.0006,-0.0057,-168.67,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.998Z,-0.0558,-0.7196,-0.7003,-0.0071,0.0705,0.01,0.0043,-0.003,-0.003,-168.66,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:22.005Z,-0.0569,-0.7201,-0.701,0.0016,0.083,0.0099,0.0036,-0.0032,-0.0053,-168.66,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:22.016Z,-0.0561,-0.7206,-0.6996,-0.0077,0.0815,0.0048,0.0021,0.0002,-0.0041,-168.66,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:22.026Z,-0.0561,-0.7206,-0.6996,-0.0013,0.0838,0.0009,0.004,-0.0008,-0.0031,-168.66,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:22.035Z,-0.057,-0.721,-0.7001,0.0001,0.0909,-0.0004,0,-0.0012,-0.0057,-168.66,45.41,-4.65,225,5,6,2,Deadlift,1
